""	"Dates"	"Category"	"Descript"	"DayOfWeek"	"PdDistrict"	"Resolution"	"Address"	"X"	"Y"	"LatLong"
"8584"	2015-04-01 18:00:00	"LARCENY/THEFT"	"GRAND THEFT FROM LOCKED AUTO"	"Wednesday"	"PARK"	"NONE"	"CLAYTON ST / CORBETT AV"	-122.446021738506	37.7587230991682	"37.7587230991682, -122.446021738506"
"163738"	2013-03-10 22:32:00	"OTHER OFFENSES"	"OBSCENE PHONE CALLS(S)"	"Sunday"	"SOUTHERN"	"NONE"	"800 Block of BRYANT ST"	-122.403404791479	37.775420706711	"37.775420706711, -122.403404791479"
"160447"	2013-04-01 14:38:00	"DRUG/NARCOTIC"	"MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED"	"Monday"	"MISSION"	"ARREST, BOOKED"	"0 Block of DORLAND ST"	-122.425051461461	37.7623335286232	"37.7623335286232, -122.425051461461"
"117249"	2013-10-17 16:03:00	"DRUG/NARCOTIC"	"POSSESSION OF BASE/ROCK COCAINE"	"Thursday"	"TENDERLOIN"	"ARREST, BOOKED"	"100 Block of HYDE ST"	-122.415669661443	37.7821198488931	"37.7821198488931, -122.415669661443"
"103733"	2013-12-26 12:00:00	"KIDNAPPING"	"CHILD STEALING"	"Thursday"	"BAYVIEW"	"NONE"	"0 Block of HUDSON CT"	-122.379091692307	37.7324208265708	"37.7324208265708, -122.379091692307"
"49145"	2014-09-18 15:21:00	"NON-CRIMINAL"	"TARASOFF REPORT"	"Thursday"	"SOUTHERN"	"NONE"	"0 Block of DORE ST"	-122.413045971966	37.7738617771611	"37.7738617771611, -122.413045971966"
"15783"	2015-02-22 19:58:00	"SUSPICIOUS OCC"	"INVESTIGATIVE DETENTION"	"Sunday"	"BAYVIEW"	"UNFOUNDED"	"700 Block of KIRKWOOD AV"	-122.374019331833	37.729203356539	"37.729203356539, -122.374019331833"
"18751"	2015-02-16 04:00:00	"SUSPICIOUS OCC"	"SUSPICIOUS OCCURRENCE"	"Monday"	"SOUTHERN"	"NONE"	"6TH ST / NATOMA ST"	-122.407693108529	37.7801630691196	"37.7801630691196, -122.407693108529"
"725"	2015-05-11 22:12:00	"OTHER OFFENSES"	"RESISTING ARREST"	"Monday"	"MISSION"	"JUVENILE BOOKED"	"2100 Block of MISSION ST"	-122.419470488515	37.7622701739914	"37.7622701739914, -122.419470488515"
"129534"	2013-08-23 09:45:00	"LARCENY/THEFT"	"PETTY THEFT FROM LOCKED AUTO"	"Friday"	"SOUTHERN"	"NONE"	"800 Block of BRYANT ST"	-122.403404791479	37.775420706711	"37.775420706711, -122.403404791479"
"50008"	2014-09-16 11:53:00	"SUSPICIOUS OCC"	"SUSPICIOUS AUTO, POSSIBLY SEX"	"Tuesday"	"SOUTHERN"	"NONE"	"800 Block of BRYANT ST"	-122.403404791479	37.775420706711	"37.775420706711, -122.403404791479"
"118976"	2013-10-06 16:05:00	"NON-CRIMINAL"	"AIDED CASE, MENTAL DISTURBED"	"Sunday"	"PARK"	"PSYCHOPATHIC CASE"	"700 Block of CLAYTON ST"	-122.448129494514	37.7679265590444	"37.7679265590444, -122.448129494514"
